,team_name,team_id,color1,color2,color3,color4
67,Dartmouth,1171,#005730,#FFFFFF,0.0,0.0
68,Davidson,1172,#000000,#E51937,#FFFFFF,0.0
69,Dayton,1173,#151A66,#E70808,#FFFFFF,0.0
70,DePaul,1177,#336698,#BD0F10,#FFFFFF,#000000
71,Delaware,1174,#01539B,#FFDD00,#100A04,#FFFFFF
72,Delaware St,1175,#F11A2D,#01A9EF,#FFFFFF,#261511
73,Denver,1176,#98002E,#AA976C,0.0,0.0
74,Detroit,1178,#1C64A4,#E51937,#FFFFFF,0.0
75,Drake,1179,#0053A0,#FFFFFF,#B4B6B8,0.0
76,Drexel,1180,#010160,#FFDC3E,#000000,#FFFFFF
77,Duke,1181,#004C7D,#FFFFFF,0.0,0.0
78,Duquesne,1182,#002D62,#D31145,#FFFFFF,0.0
79,E Illinois,1183,#000000,#FFFFFF,#0675D0,0.0
80,E Kentucky,1184,#730B27,#FFFFFF,#A7AAAB,0.0
81,E Michigan,1185,#0B5F24,#FFFFFF,#7F7F7F,0.0
82,E Washington,1186,#D72E34,#FFFFFF,#000000,0.0
83,ETSU,1190,#041e42,#ffc72c,0.0,0.0
84,East Carolina,1187,#4A1F68,#FFCE28,#FFFFFF,#000000
85,Eastern New Mexico,1468,#166936,#a7a9ac,0.0,0.0
86,Edwardsville,1188,#674B20,#BC9B6A,#000004,#FFFFFF
87,Elon,1189,#040404,#AEA460,#9E0152,#FFFFFF
88,Evansville,1191,#663399,#FF6B0F,#FFFFFF,0.0
89,F Dickinson,1192,#003f87,#a32638,0.0,0.0
90,FL Atlantic,1194,#004B85,#FFFFFF,#CD1041,0.0
91,FL Gulf Coast,1195,#702D07,#009569,#FFFFFF,#D1B07F
92,Fairfield,1193,#181111,#D4290F,#FFFFFF,0.0
93,Florida,1196,#2139CE,#FF4208,#FFFFFF,#39734A
94,Florida A&M,1197,#F89728,#00B552,#FFFFFF,0.0
95,Florida Intl,1198,#002D62,#C5960B,#FFFFFF,0.0
96,Florida St,1199,#900028,#A8936B,#231F20,#FFFFFF
97,Fordham,1200,#830032,#FFFFFF,#1E1A1B,0.0
98,Fresno St,1201,#00427A,#E32F38,#FFFFFF,0.0
99,Furman,1202,#3A1769,#FFFFFF,0.0,0.0
100,G Washington,1203,#063065,#FFB923,#FFFFFF,0.0
101,Ga Southern,1204,#011e41,#87714d,0.0,0.0
102,Gardner Webb,1205,#87714d,#87714d,0.0,0.0
103,George Mason,1206,#006539,#FBC52B,#FFFFFF,#01010C
104,Georgetown,1207,#49487C,#FFFFFF,#AC928A,0.0
105,Georgia,1208,#A0000B,#000000,#FFFFFF,0.0
106,Georgia St,1209,#005DAA,#FFFFFF,#F8112B,0.0
107,Georgia Tech,1210,#160A06,#FDB813,#FFFFFF,0.0
108,Gonzaga,1211,#2D2161,#DC272A,#FFFFFF,0.0
109,Grambling,1212,#F88400,#101008,#FFFFFF,0.0
110,Grand Canyon,1213,#522398,#FFFFFF,0.0,0.0
111,Hampton,1214,#0067AC,#FFFFFF,#E5B67D,0.0
112,Hardin-Simmons,1215,#581483,#FFC72C,#B5B5B5,0.0
113,Hartford,1216,#ED1B2E,#FFFFFF,0.0,0.0
114,Harvard,1217,#C41130,#FFFFFF,#231F20,0.0
115,Hawaii,1218,#004231,#000000,#FFFFFF,0.0
116,High Point,1219,#AAB3B8,#342B88,#000000,#FFFFFF
117,Hofstra,1220,#0756A4,#FFCf1B,#FFFFFF,0.0
118,Holy Cross,1221,#090909,#1B2154,#FFFFFF,#909095
119,Houston,1222,#C90822,#012259,#FFFFFF,0.0
120,Houston Bap,1223,#702D07,#00529C,#FFFFFF,0.0
121,Howard,1224,#EE3A43,#09347A,#FFFFFF,0.0
122,IL Chicago,1227,#234077,#DE3444,#FFE821,0.0
123,IPFW,1236,#1B3F95,#FFFFFF,#929497,#131111
124,IUPUI,1237,#A81F30,#DC973C,#FFFFFF,#011522
125,Idaho,1225,#000000,#FFCC13,#FFFFFF,0.0
126,Idaho St,1226,#FF8400,#000000,#FAD001,#FFFFFF
127,Illinois,1228,#000000,#FFFFFF,#0675D0,0.0
128,Illinois St,1229,#E61731,#010000,#FFFFFF,#FEE818
129,Incarnate Word,1230,#cb333b,#000000,0.0,0.0
130,Indiana,1231,#A82B3D,#FFFFFF,0.0,0.0
131,Indiana St,1232,#00669A,#FFFFFF,0.0,0.0
132,Iona,1233,#910126,#FDC10D,#FFFFFF,#0F0E12
133,Iowa,1234,#000000,#FFD700,#FFFFFF,0.0
134,Iowa St,1235,#840A2C,#FEC938,#FFFFFF,0.0
135,Jackson St,1238,#123297,#FFFFFF,0.0,0.0
136,Jacksonville,1239,#008568,#FFFFFF,#000000,#8B8B8B
137,Jacksonville St,1240,#E53F40,#FFFFFF,#1D1819,0.0
138,James Madison,1241,#263997,#D5A10E,#FFFFFF,#B3B5B8
139,Kansas,1242,#006AB5,#FFFFFF,#FFD204,#E51837
140,Kansas St,1243,#633194,#FFFFFF,0.0,0.0
141,Kennesaw,1244,#231F20,#F0B410,#FFFFFF,0.0
142,Kent,1245,#730B27,#FFFFFF,#A7AAAB,0.0
143,Kentucky,1246,#730B27,#FFFFFF,#A7AAAB,0.0
144,LSU,1261,#33297B,#FDB827,#FFFFFF,0.0
145,La Salle,1247,#000F4C,#FFF200,#FFFFFF,0.0
146,Lafayette,1248,#9A0024,#CDBDA3,#0B070B,#FFFFFF
147,Lamar,1249,#231F20,#ED1B2E,#FFFFFF,#FCB131
148,Lehigh,1250,#994708,#CFAB7A,#653600,#FFFFFF
149,Liberty,1251,#02298A,#A70F00,#FFFFFF,0.0
150,Lipscomb,1252,#122A65,#FFFFFF,0.0,0.0
151,Long Beach St,1253,#000000,#FFCC00,#FFFFFF,0.0
152,Long Island,1254,#000000,#FFFFFF,0.0,0.0
153,Longwood,1255,#004990,#FFFFFF,#B9B9BB,0.0
154,Louisiana Tech,1256,#006AB5,#ED1C24,#FFFFFF,0.0
155,Louisville,1257,#FD0B20,#070707,#FFFFFF,#FFC010
156,Loy Marymount,1258,#8C0029,#00314A,#FFFFFF,0.0
157,Loyola MD,1259,#006857,#c8c8c8,0.0,0.0
158,Loyola-Chicago,1260,#9E0E43,#FBC312,0.0,0.0
159,MA Lowell,1262,#00549f,#cf202f,0.0,0.0
160,MD E Shore,1271,#98012E,#231F20,#FFFFFF,0.0
161,MS Valley St,1290,#054105,#FFFFFF,0.0,0.0
162,MTSU,1292,#0079C2,#FFFFFF,#231F20,0.0
163,Maine,1263,#2E8DC4,#FFFFFF,#909090,#000000
164,Manhattan,1264,#528C39,#FFFFFF,#DEDEDE,0.0
165,Marist,1265,#EF1216,#FFFFFF,#210203,0.0
166,Marquette,1266,#002F78,#FDB826,#FFFFFF,0.0
167,Marshall,1267,#01592F,#FFFFFF,#000000,0.0
168,Maryland,1268,#D5002B,#FFFFFF,#000000,#C68746
169,Massachusetts,1269,#9F011A,#FFFFFF,#12090A,0.0
170,McNeese St,1270,#FFD51D,#00529C,#FFFFFF,0.0
171,Memphis,1272,#2A2A9B,#FFFFFF,#FEC003,0.0
172,Mercer,1273,#FF7F27,#FFFFFF,#000000,0.0
173,Miami FL,1274,#003E24,#E75C2D,#FFFFFF,0.0
174,Miami OH,1275,#C60808,#080808,#FFFFFF,#3F7D91
175,Michigan,1276,#FAC417,#FFFFFF,#E2A253,0.0
176,Michigan St,1277,#1C453A,#FFFFFF,#000000,0.0
177,Minnesota,1278,#7F011B,#FFF63E,#FFFFFF,0.0
178,Mississippi,1279,#002C91,#FF002C,#FFFFFF,0.0
179,Mississippi St,1280,#762123,#D1D5D8,#FFFFFF,0.0
180,Missouri,1281,#E8AF11,#E8AF11,#FFFFFF,0.0
181,Missouri KC,1282,#005486,#FFD204,#231F20,#FFFFFF
182,Missouri St,1283,#5F0000,#FFFFFF,#000000,0.0
183,Monmouth NJ,1284,#051844,#FFFFFF,#D7D8D8,0.0
184,Montana,1285,#751D4A,#FFFFFF,#181829,0.0
185,Montana St,1286,#003875,#D3AF7E,#FFFFFF,0.0
186,Morehead St,1287,#094FA3,#FFFFFF,#FFD51D,#040204
187,Morgan St,1288,#014786,#F47937,#FFFFFF,#231F20
188,Morris Brown,1289,#8F3E9B,#FFFFFF,0.0,0.0
189,Mt St Mary's,1291,#283590,#FFFFFF,0.0,0.0
190,Murray St,1293,#002148,#FFE000,#FFFFFF,0.0
191,N Colorado,1294,#13558D,#F9D245,#FFFFFF,0.0
192,N Dakota St,1295,#01402A,#FEBB1C,0.0,0.0
193,N Illinois,1296,#F1122C,#0F0D0D,#FFFFFF,0.0
194,N Kentucky,1297,#000000,#ffc72c,0.0,0.0
195,NC A&T,1299,#0505AA,#FFFFFF,#FFFF63,0.0
196,NC Central,1300,#880023,#1A1818,#FFFFFF,#8E9093
197,NC State,1301,#EF1216,#FFFFFF,#221E1F,0.0
198,NE Omaha,1303,#d71920,#000000,0.0,0.0
199,NJIT,1312,#cc0000,#FFFFFF,0.0,0.0
200,Navy,1298,#131630,#FCBA29,#FFFFFF,0.0
201,Nebraska,1304,#F20017,#FFFFFF,0.0,0.0
202,Nevada,1305,#153E5F,#FFFFFF,0.0,0.0
203,New Hampshire,1306,#004990,#FFFFFF,#C3C4C6,0.0
204,New Mexico,1307,#000000,#D41045,#FFFFFF,#C4C4C4
205,New Mexico St,1308,#891216,#221E1F,#FFFFFF,0.0
206,New Orleans,1309,#2B3986,#FFFFFF,#FD1A41,#000000
207,Niagara,1310,#69207E,#FFFFFF,#201C1D,0.0
208,Nicholls St,1311,#C41230,#FFFFFF,#231F20,0.0
209,Norfolk St,1313,#046546,#FFFFFF,#F1C409,0.0
210,North Alabama,1466,#46166b,#db9f11,0.0,0.0
211,North Carolina,1314,#98BFE5,#FFFFFF,#00275D,0.0
212,North Dakota,1315,#702D07,#FFFFFF,#E22D33,#00A26B
213,North Florida,1316,#0A548D,#FFFFFF,#9F9E9D,0.0
214,North Texas,1317,#00853D,#FFFFFF,#2D2327,0.0
215,Northeastern,1318,#CC0001,#FFFFFF,#1A1100,0.0
216,Northern Arizona,1319,#003976,#FFFFFF,#629181,#FFD51F
217,Northern Iowa,1320,#473282,#E4AE2F,#FFFFFF,0.0
218,Northwestern,1321,#393996,#FFFFFF,#000000,0.0
219,Northwestern LA,1322,#492f92,#f78426,0.0,0.0
220,Notre Dame,1323,#00122B,#BAA008,#FFFFFF,0.0
221,Oakland,1324,#000000,#998448,#F5E0B6,#FFFFFF
222,Ohio,1325,#295A29,#FFFFFF,#E7CEAD,#313139
223,Ohio St,1326,#DE3121,#FFFFFF,#080808,#C5CCCF
224,Oklahoma,1328,#BA0034,#FFFFFF,#000000,0.0
225,Oklahoma St,1329,#FF6500,#000000,#FFFFFF,0.0
226,Old Dominion,1330,#00507D,#FFFFFF,#999DA0,0.0
227,Ole Miss,1467,#002C91,#FF002C,#FFFFFF,0.0
228,Oral Roberts,1331,#002E70,#FFFFFF,#D39B16,0.0
229,Oregon,1332,#044520,#F4E600,#FFFFFF,0.0
230,Oregon St,1333,#000203,#AE3800,#FFFFFF,0.0
231,Pacific,1334,#F47820,#231F20,#FFFFFF,0.0
232,Penn,1335,#00265D,#FFFFFF,0.0,0.0
233,Penn St,1336,#00265D,#FFFFFF,0.0,0.0
234,Pepperdine,1337,#009C98,#003A72,#F58026,#FFFFFF
235,Pittsburgh,1338,#003263,#FFFFFF,#242021,0.0
236,Portland,1339,#0E034E,#FFFFFF,0.0,0.0
237,Portland St,1340,#005E60,#BFCFD8,#FFFFFF,0.0
238,Prairie View,1341,#5A185C,#FFBD29,#181821,#FFFFFF
239,Presbyterian,1342,#194896,#FFFFFF,#AA153B,0.0
240,Princeton,1343,#F9A13A,#231F20,#FFFFFF,0.0
241,Providence,1344,#000000,#FFFFFF,#C4C4C4,0.0
242,Purdue,1345,#000000,#B89D29,#FFFFFF,#9FA3A6
243,Quinnipiac,1346,#041B43,#BA9000,#FFFFFF,0.0
244,Radford,1347,#BC1515,#FFFFFF,#292B2A,0.0
245,Rhode Island,1348,#3691C6,#003559,#FFFFFF,0.0
246,Rice,1349,#003D7D,#FFFFFF,0.0,0.0
247,Richmond,1350,#9E0712,#003256,#FFFFFF,0.0
248,Rider,1351,#A80532,#FFFFFF,#ABADB0,#000000
249,Robert Morris,1352,#00214D,#AF1C2E,#FFFFFF,#BEB9B4
250,Rutgers,1353,#EE363D,#FFFFFF,#0E1112,0.0
251,S Carolina St,1354,#7E1812,#080D35,#050305,#FFFFFF
252,S Dakota St,1355,#005DAB,#FFDE00,#FFFFFF,0.0
253,S Illinois,1356,#85283D,#000000,#FFFFFF,0.0
254,SC Upstate,1367,#702D07,#00703C,#FFFFFF,#231F20
255,SE Louisiana,1368,#eaaa00,#006341,0.0,0.0
256,SE Missouri St,1369,#c8102e,#000000,0.0,0.0
257,SF Austin,1372,#5f259f,#FFFFFF,0.0,0.0
258,SMU,1374,#cc0035,#354ca1,0.0,0.0
259,Sacred Heart,1357,#CE1040,#FFFFFF,#B1B3B6,0.0
260,Sam Houston St,1358,#F78F1E,#231F20,#FFFFFF,0.0
261,Samford,1359,#005485,#D2D4D5,#C72D30,#FFFFFF
262,San Diego,1360,#2f99d4,#00275d,#FFFFFF,0.0
263,San Diego St,1361,#231F20,#BF2C37,#7C6642,#FFFFFF
264,San Francisco,1362,#22523F,#FFE13A,#FFFFFF,0.0
265,San Jose St,1363,#005893,#FFC021,#FFFFFF,0.0
266,Santa Barbara,1364,#1D1160,#0160A8,#FFFFFF,#FBCB55
267,Santa Clara,1365,#690B0B,#000000,#FFFFFF,0.0
268,Savannah St,1366,#280298,#FF0000,#FFFFFF,0.0
269,Seattle,1370,#BF2E1A,#231F20,#FFFFFF,0.0
270,Seton Hall,1371,#0857B1,#FFFFFF,#A2ABB2,0.0
271,Siena,1373,#037961,#FFD117,#FFFFFF,0.0
272,South Alabama,1375,#003E7E,#FFFFFF,#D11241,0.0
273,South Carolina,1376,#CD0000,#000000,#FFFFFF,0.0
274,South Dakota,1377,#CD1241,#231F20,#B3B5B8,#FFFFFF
275,South Florida,1378,#004A36,#FFFFFF,#A08B4D,0.0
276,Southern Miss,1379,#FFAA3C,#201C1D,#FFFFFF,0.0
277,Southern Univ,1380,#004B97,#FFCD02,#FFFFFF,0.0
278,Southern Utah,1381,#D12947,#050607,#FFFFFF,0.0
279,St Bonaventure,1382,#70261D,#FEE8AB,0.0,0.0
280,St Francis NY,1383,#113682,#A9070B,0.0,0.0
281,St Francis PA,1384,#F41650,#1E1719,0.0,0.0
282,St John's,1385,#D31145,#231F20,0.0,0.0
283,St Joseph's PA,1386,#C2071B,#0B0908,0.0,0.0
284,St Louis,1387,#00539C,#FFFFFF,0.0,0.0
285,St Mary's CA,1388,#003768,#E51B24,0.0,0.0
286,St Peter's,1389,#004CC2,#30C808,0.0,0.0
287,Stanford,1390,#A80532,#FFFFFF,0.0,0.0
288,Stetson,1391,#18581C,#FFFFFF,0.0,0.0
289,Stony Brook,1392,#115F9A,#B33A4E,#FFFFFF,0.0
290,Syracuse,1393,#002D62,#F37321,#FFFFFF,0.0
291,TAM C. Christi,1394,#0067c5,#007f3e,0.0,0.0
292,TCU,1395,#3C377D,#EBEBEB,#FFFFFF,#1E1B1C
293,TN Martin,1404,#FF6700,#000099,0.0,0.0
294,TX Southern,1411,#6A0403,#FFFFFF,0.0,0.0
295,Temple,1396,#A80532,#FFFFFF,#000000,0.0
296,Tennessee,1397,#025BA3,#BE9434,#171E23,#FFFFFF
297,Tennessee St,1398,#025BA3,#BE9434,#171E23,#FFFFFF
298,Tennessee Tech,1399,#5A4099,#FFDE00,#FFFFFF,0.0
299,Texas,1400,#00853D,#FFFFFF,#2D2327,0.0
300,Texas A&M,1401,#5C0025,#FFFFFF,0.0,0.0
301,Texas St,1402,#744143,#9B8449,#FFFFFF,0.0
302,Texas Tech,1403,#C80025,#000000,#FFFFFF,0.0
303,Toledo,1405,#00488F,#FFD51D,#FFFFFF,0.0
304,Towson,1406,#FFC229,#1E1C1C,#FFFFFF,0.0
305,Troy,1407,#AE0210,#FFFFFF,#6E7272,#000000
306,Tulane,1408,#005837,#FFFFFF,#6EA396,#00A6eb
307,Tulsa,1409,#004371,#FFFFFF,#E21721,#000000
308,UAB,1412,#054338,#040504,#FFFFFF,#E7BD05
309,UC Davis,1413,#183563,#CB992B,#FFFFFF,#CCCCCD
310,UC Irvine,1414,#002B5C,#FBC22D,#FFFFFF,0.0
311,UC Riverside,1415,#14234F,#CCA61F,#FFFFFF,#247BC2
312,UCF,1416,#231F20,#B4985A,#FFFFFF,0.0
313,UCLA,1417,#005C8E,#FFB325,#000000,#FFFFFF
314,ULL,1418,#ce181e,#0a0203,0.0,0.0
315,ULM,1419,#98012E,#B38807,0.0,0.0
316,UMBC,1420,#221F1F,#FFC10E,#FFFFFF,#AF8706
317,UNC Asheville,1421,#156199,#151112,0.0,0.0
318,UNC Greensboro,1422,#003559,#E6BE2A,#FFFFFF,0.0
319,UNC Wilmington,1423,#003366,#006666,#ffd600,0.0
320,UNLV,1424,#231E1F,#D50026,#FFFFFF,0.0
321,USC,1425,#AE2531,#FFAC33,#FFFFFF,0.0
322,UT Arlington,1426,#f58025,#0064b1,0.0,0.0
323,UT San Antonio,1427,#0c2340,#f15a22,0.0,0.0
324,UTEP,1431,#002843,#F9783B,#FFFFFF,#C2BFBC
325,UTRGV,1410,#f05023,#00246b,#00c21d,0.0
326,Utah,1428,#D12947,#050607,#FFFFFF,0.0
327,Utah St,1429,#003263,#FFFFFF,#000000,0.0
328,Utah Valley,1430,#004812,#E8D766,#FFFFFF,#C0A000
329,VA Commonwealth,1433,#7D7D7A,#000000,0.0,0.0
330,VMI,1440,#E52D37,#FFC527,0.0,0.0
331,Valparaiso,1434,#794500,#FFD204,#FFFFFF,0.0
332,Vanderbilt,1435,#000000,#BB8D09,#FFFFFF,0.0
333,Vermont,1436,#013C24,#FFCE0E,#FFFFFF,#030202
334,Villanova,1437,#123d7C,#FFFFFF,#80FBFF,0.0
335,Virginia,1438,#00204E,#EA4B0F,#FFFFFF,0.0
336,Virginia Tech,1439,#74232D,#FBB088,#FFFFFF,0.0
337,W Carolina,1441,#492F91,#CFAB7A,0.0,0.0
338,W Illinois,1442,#6812BB,#DFFF16,0.0,0.0
339,W Michigan,1444,#7E3E09,#1D1B1B,0.0,0.0
340,W Salem St,1445,#c8102e,#FFFFFF,0.0,0.0
341,WI Green Bay,1453,#006F51,#B20838,0.0,0.0
342,WI Milwaukee,1454,#445266,#F0B432,0.0,0.0
343,WKU,1443,#b01e24,#FFFFFF,0.0,0.0
344,Wagner,1447,#00483A,#FFFFFF,#BABCBE,0.0
345,Wake Forest,1448,#000000,#C49544,#FFFFFF,0.0
346,Washington,1449,#D72E34,#FFFFFF,#000000,0.0
347,Washington St,1450,#97002F,#FFFFFF,0.0,0.0
348,Weber St,1451,#29086B,#FFFFFF,0.0,0.0
349,West Virginia,1452,#FFC600,#000000,#FFFFFF,0.0
350,Wichita St,1455,#101008,#F8D429,#FFFFFF,0.0
351,William & Mary,1456,#103217,#FDF71C,#FFFFFF,0.0
352,Winthrop,1457,#9E0B0E,#FFAF1E,#FFFFFF,0.0
353,Wisconsin,1458,#A00000,#000000,#FFFFFF,0.0
354,Wofford,1459,#000000,#FFD700,#FFFFFF,0.0
355,Wright St,1460,#006F53,#E9AF10,#231F20,#FFFFFF
356,Wyoming,1461,#533B22,#000000,#FFFFFF,0.0
357,Xavier,1462,#002144,#FFFFFF,#B0B1B6,0.0
358,Yale,1463,#004A81,#040404,#FFFFFF,0.0
359,Youngstown St,1464,#E51937,#231F20,#FFFFFF,0.0
